지 역,,,,2011년,2012년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
,,,,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
,,,기흥구,71.243,71.092,69.341,67.961,67.94,70.058,70.288,70.408,75.256,74.83,90.297,107.954
,,,수지구,70.776,70.601,63.63,63.358,65.587,68.356,68.52,68.313,74.367,74.553,92.755,106.96
,,수원시,,66.714,66.554,63.754,63.77,66.455,70.723,71.156,72.092,73.884,75.012,90.709,109.841
,,,장안구,75.71,75.606,72.872,72.533,73.93,80.596,80.959,81.9,82.493,82.094,94.404,108.452
,,,권선구,67.797,67.77,64.495,65.332,67.752,72.111,72.611,73.592,74.04,74.036,89.53,110.661
,,,팔달구,62.469,62.289,60.495,59.886,63.081,66.17,66.669,67.852,72.603,74.242,90.754,109.39
,,,영통구,62.274,61.998,59.034,58.917,62.34,65.571,65.973,66.788,69.169,71.843,89.359,110.192
,서해안권,,,-,73.792,71.481,71.525,73.865,78.484,79.137,80.032,79.447,78.396,87.628,111.999
,,부천시,,73.228,72.705,68.793,68.386,70.161,73.494,74.503,75.871,79.267,80.875,89.104,110.798
,,안산시,,68.401,68.489,67.086,67.294,70.315,77.344,77.151,77.102,71.037,71.098,80.663,111.195
,,,상록구,69.156,69.176,67.214,68.027,70.484,77.651,77.999,77.653,71.554,71.56,80.227,110.979
,,,단원구,67.807,67.951,67.009,66.732,70.205,77.125,76.498,76.679,70.641,70.746,80.999,111.359
,,시흥시,,71.027,71.071,68.359,68.11,69.836,75.467,75.808,77.338,76.215,74.246,81.845,113.113
,,광명시,,56.136,55.901,53.334,53.981,57.601,65.12,66.963,69.429,77.106,79.547,91.807,107.374
,,화성시,,77.438,77.072,73.109,73.95,75.916,78.121,78.646,79.484,80.591,79.322,91.677,111.649
,,오산시,,83.279,83.482,83.209,81.882,83.347,85.468,85.686,85.648,80.873,77.893,88.368,116.699
,,평택시,,89.614,89.811,92.683,92.576,94.872,98.171,98.744,98.108,90.645,84.191,88.726,114.117
,동부1권,,,-,73.894,69.619,68.634,69.524,73.526,74.463,75.665,77.448,78.018,89.398,107.572
,,남양주시,,75.303,75.105,70.41,69.358,70.164,73.672,74.784,75.881,75.659,75.79,86.264,109.3
,,구리시,,63.166,63.323,59.865,58.856,60.428,64.371,65.234,66.546,72.716,75.581,92.55,106.363
,,하남시,,69.18,68.804,63.313,63.53,65.553,72.701,72.686,74.228,80.872,81.702,94.253,103.25
,,광주시,,85.303,84.97,82.595,80.962,80.249,83.992,85.049,86.188,84.602,83.783,91.169,108.399
,동부2권,,,-,93.777,92.34,94.858,97.446,101.769,103.547,103.848,102.789,97.746,96.539,109.639
